,A,aug,sep,oct,s_bar,sq1,sq2,sq3,num,final
166,21729,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
167,21730,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
168,21731,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
169,21732,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
170,21733,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
171,21734,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
172,21735,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
173,21736,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
174,21737,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
175,21738,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
176,21739,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
177,21740,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
178,21741,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
179,21742,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
180,21743,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
181,21744,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
182,21745,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
183,21746,0.458146007804834,0.244219050288215,0,0.234121686031016,0.050186896746219,0.000101956764942553,0.0548129638700058,0.0350339391270558,0.149639871986974
184,21747,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
185,21748,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
186,21749,0.217322011273649,0.451544993495972,0,0.22295566825654,3.17380910008803E-05,0.0522530796134187,0.0497092300077205,0.0339980159040467,0.152487784544358
187,21750,0.217322011273649,0.301029995663981,0,0.172784002312543,0.00198363424221953,0.016447034810697,0.029854311455141,0.0160949935026858,0.0931509473520131
188,21751,0.217322011273649,0.301029995663981,0,0.172784002312543,0.00198363424221953,0.016447034810697,0.029854311455141,0.0160949935026858,0.0931509473520131
189,21752,0.217322011273649,0.301029995663981,0,0.172784002312543,0.00198363424221953,0.016447034810697,0.029854311455141,0.0160949935026858,0.0931509473520131
190,21753,0.217322011273649,0.301029995663981,0,0.172784002312543,0.00198363424221953,0.016447034810697,0.029854311455141,0.0160949935026858,0.0931509473520131
191,21754,0.217322011273649,0.301029995663981,0,0.172784002312543,0.00198363424221953,0.016447034810697,0.029854311455141,0.0160949935026858,0.0931509473520131
192,21755,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
193,21756,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
194,21757,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
195,21758,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
196,21759,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
197,21760,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
198,21761,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
199,21762,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
200,21763,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
201,21764,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
202,21765,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
203,21766,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
204,21767,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
205,21768,0.292285253238629,0,0.151495854335375,0.147927035858001,0.0208392949253125,0.0218824079377344,1.27364653244437E-05,0.0142448131094571,0.096296211350649
206,21769,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
207,21770,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
208,21771,0.292285253238629,0,0.368579454591567,0.220288235943399,0.0051835704994097,0.0485269068950545,0.0219902855281589,0.0252335876408743,0.114548048981417
209,21772,0.292285253238629,0,0.368579454591567,0.220288235943399,0.0051835704994097,0.0485269068950545,0.0219902855281589,0.0252335876408743,0.114548048981417
210,21773,0.292285253238629,0,0.276434590943675,0.189573281394101,0.010549749160191,0.0359380290185271,0.00754488709666686,0.0180108884251283,0.0950075258110121
211,21774,0.292285253238629,0,0.276434590943675,0.189573281394101,0.010549749160191,0.0359380290185271,0.00754488709666686,0.0180108884251283,0.0950075258110121
212,21775,0.292285253238629,0,0.276434590943675,0.189573281394101,0.010549749160191,0.0359380290185271,0.00754488709666686,0.0180108884251283,0.0950075258110121
213,21776,0.292285253238629,0,0.276434590943675,0.189573281394101,0.010549749160191,0.0359380290185271,0.00754488709666686,0.0180108884251283,0.0950075258110121
214,21777,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
215,21778,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
216,21779,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
217,21780,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
218,21781,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
219,21782,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
220,21783,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
221,21784,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
222,21785,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
223,21786,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
224,21787,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
225,21788,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
226,21789,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
227,21790,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
228,21791,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
229,21792,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
230,21793,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
231,21794,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
232,21795,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
233,21796,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
234,21797,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
235,21798,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
236,21799,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
237,21800,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
238,21801,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
239,21802,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
240,21803,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
241,21804,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
242,21805,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
243,21806,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
244,21807,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
245,21808,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
246,21809,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
